Age Range,Frequency of Visiting,Follow Vegetarian Diet,Years in Sriperumbudur,Wish for High-Maintained Veg Restaurant,Top Factor Influencing Restaurant Choice,Preferred Brand,Satisfaction Level,Preferred Ambiance
26-35,Monthly,No,11-15 years,No,Location,A2B,Very dissatisfied,Outdoor seating
18-25,Monthly,No,6-10 years,Yes,Recommendations,A2B,Very dissatisfied,Cozy (Comfortable)
26-35,Occasionally,Yes,More than 15 years,No,Service,Other Brands,Dissatisfied,Cozy (Comfortable)
46-55,Weekly,No,11-15 years,Yes,Recommendations,Other Brands,Very dissatisfied,Cozy (Comfortable)
46-55,Weekly,No,1-5 years,Yes,Ambiance,Other Brands,Neutral,Outdoor seating
46-55,Weekly,No,Less than 1 year,Yes,Service,Vasanthabhavan,Very satisfied,Casual
36-45,Rarely or never,Yes,11-15 years,Yes,Service,Vasanthabhavan,Dissatisfied,Cozy (Comfortable)
18-25,Monthly,Yes,More than 15 years,No,Location,A2B,Satisfied,Casual
46-55,Monthly,No,More than 15 years,No,Ambiance,Vasanthabhavan,Very satisfied,Outdoor seating
26-35,Rarely or never,Yes,6-10 years,No,Location,Vasanthabhavan,Dissatisfied,Fine dining
26-35,Weekly,No,1-5 years,No,Location,Vasanthabhavan,Dissatisfied,Cozy (Comfortable)
26-35,Occasionally,No,1-5 years,No,Recommendations,A2B,Dissatisfied,Outdoor seating
46-55,Weekly,No,More than 15 years,Yes,Ambiance,Vasanthabhavan,Dissatisfied,Cozy (Comfortable)
18-25,Occasionally,Yes,6-10 years,No,Location,Other Brands,Satisfied,Outdoor seating
18-25,Monthly,Yes,More than 15 years,No,Location,Other Brands,Very dissatisfied,Casual
36-45,Rarely or never,Yes,6-10 years,No,Price,A2B,Dissatisfied,Outdoor seating
18-25,Occasionally,No,1-5 years,Yes,Ambiance,A2B,Very dissatisfied,Fine dining
36-45,Rarely or never,Yes,11-15 years,No,Quality of food,Vasanthabhavan,Very satisfied,Outdoor seating
36-45,Weekly,Yes,Less than 1 year,No,Ambiance,A2B,Satisfied,Cozy (Comfortable)
46-55,Occasionally,Yes,6-10 years,No,Quality of food,Other Brands,Neutral,Cozy (Comfortable)
26-35,Occasionally,Yes,1-5 years,Yes,Price,A2B,Satisfied,Fine dining
26-35,Weekly,No,Less than 1 year,Yes,Recommendations,Vasanthabhavan,Very dissatisfied,Cozy (Comfortable)
36-45,Rarely or never,No,More than 15 years,No,Recommendations,Vasanthabhavan,Neutral,Casual
18-25,Rarely or never,No,11-15 years,No,Location,Other Brands,Satisfied,Outdoor seating
18-25,Weekly,Yes,1-5 years,Yes,Ambiance,Other Brands,Very satisfied,Fine dining
46-55,Rarely or never,No,1-5 years,Yes,Quality of food,A2B,Very satisfied,Fine dining
26-35,Weekly,Yes,11-15 years,No,Ambiance,Vasanthabhavan,Dissatisfied,Fine dining
46-55,Occasionally,Yes,1-5 years,No,Recommendations,A2B,Neutral,Cozy (Comfortable)
36-45,Rarely or never,Yes,11-15 years,No,Recommendations,Other Brands,Satisfied,Fine dining
18-25,Rarely or never,Yes,11-15 years,Yes,Recommendations,Other Brands,Neutral,Outdoor seating
26-35,Weekly,Yes,Less than 1 year,No,Location,Other Brands,Very satisfied,Cozy (Comfortable)
26-35,Monthly,Yes,1-5 years,No,Location,Vasanthabhavan,Dissatisfied,Cozy (Comfortable)
36-45,Rarely or never,Yes,11-15 years,No,Price,Vasanthabhavan,Satisfied,Outdoor seating
18-25,Occasionally,Yes,More than 15 years,No,Service,A2B,Very dissatisfied,Cozy (Comfortable)
46-55,Occasionally,No,6-10 years,No,Location,A2B,Very satisfied,Cozy (Comfortable)
18-25,Rarely or never,No,1-5 years,Yes,Service,Vasanthabhavan,Satisfied,Fine dining
26-35,Monthly,Yes,1-5 years,No,Recommendations,Other Brands,Very dissatisfied,Fine dining
18-25,Rarely or never,Yes,1-5 years,Yes,Ambiance,Other Brands,Very dissatisfied,Cozy (Comfortable)
36-45,Monthly,Yes,More than 15 years,Yes,Service,Other Brands,Satisfied,Fine dining
18-25,Weekly,No,11-15 years,Yes,Location,A2B,Very satisfied,Casual
26-35,Rarely or never,Yes,Less than 1 year,No,Price,A2B,Dissatisfied,Outdoor seating
26-35,Monthly,Yes,1-5 years,No,Price,A2B,Very dissatisfied,Fine dining
18-25,Monthly,No,Less than 1 year,No,Ambiance,A2B,Very satisfied,Casual
46-55,Occasionally,No,Less than 1 year,Yes,Quality of food,Other Brands,Neutral,Outdoor seating
26-35,Occasionally,No,Less than 1 year,Yes,Price,Other Brands,Neutral,Cozy (Comfortable)
46-55,Weekly,Yes,11-15 years,Yes,Location,A2B,Dissatisfied,Fine dining
18-25,Monthly,Yes,Less than 1 year,Yes,Recommendations,Other Brands,Neutral,Casual
36-45,Weekly,Yes,1-5 years,No,Ambiance,Other Brands,Very dissatisfied,Casual
18-25,Monthly,No,11-15 years,Yes,Recommendations,Other Brands,Dissatisfied,Cozy (Comfortable)
36-45,Occasionally,Yes,1-5 years,Yes,Service,Vasanthabhavan,Satisfied,Cozy (Comfortable)
